49A Number of Cases,98A Alignment of Case Marking of Full Noun Phrases,22A Inflectional Synthesis of the Verb,122A Relativization on Subjects,28A Case Syncretism,128A Utterance Complement Clauses,29A Syncretism in Verbal Person/Number Marking,129A Hand and Arm,102A Verbal Person Marking,48A Person Marking on Adpositions,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,34A Occurrence of Nominal Plurality,134A Green and Blue,36A The Associative Plural,136A M-T Pronouns,136B M in First Person Singular,92A Position of Polar Question Particles,65A Perfective/Imperfective Aspect,70A The Morphological Imperative,57A Position of Pronominal Possessive Affixes,59A Possessive Classification,73A The Optative,41A Distance Contrasts in Demonstratives,141A Writing Systems
2 2 cases,1 Neutral,2 2-3 categories per word,1 Relative pronoun,2 Core cases only,1 Balanced,2 Syncretic,2 Different,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,1 No grammatical evidentials,"6 All nouns, always obligatory",1 Green vs. blue,4 No associative plural,1 No M-T pronouns,2 m in first person singular,6 No question particle,2 No grammatical marking,5 No second-person imperatives,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
1 No morphological case-marking,NA,NA,NA,NA,NA,NA,2 Different,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,"6 All nouns, always obligatory",NA,4 No associative plural,NA,NA,6 No question particle,NA,4 Second person number-neutral,4 No possessive affixes,NA,NA,NA,NA
4 4 cases,2 Nominative - accusative (standard),2 2-3 categories per word,1 Relative pronoun,3 Core and non-core,NA,2 Syncretic,2 Different,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,"6 All nouns, always obligatory",1 Green vs. blue,3 Unique periphrastic associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,6 No question particle,2 No grammatical marking,2 Second singular,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,1 No distance contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 5 cases,2 Nominative - accusative (standard),NA,1 Relative pronoun,3 Core and non-core,NA,2 Syncretic,NA,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,"6 All nouns, always obligatory",NA,NA,NA,NA,1 Initial,2 No grammatical marking,3 Second plural,4 No possessive affixes,NA,2 Inflectional optative absent,2 Two-way contrast,NA
1 No morphological case-marking,NA,NA,1 Relative pronoun,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Direct and indirect,NA,NA,2 Unique affixal associative plural,NA,NA,3 Second position,1 Grammatical marking,1 Second singular and second plural,4 No possessive affixes,NA,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 No question particle,NA,1 Second singular and second plural,4 No possessive affixes,NA,NA,2 Two-way contrast,NA
6 6-7 cases,NA,NA,NA,NA,NA,NA,2 Different,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,NA,NA,NA,1 Associative same as additive plural,NA,NA,1 Initial,NA,1 Second singular and second plural,NA,NA,NA,NA,NA
6 6-7 cases,2 Nominative - accusative (standard),3 4-5 categories per word,1 Relative pronoun,3 Core and non-core,1 Balanced,3 Not syncretic,1 Identical,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,1 No grammatical evidentials,"6 All nouns, always obligatory",1 Green vs. blue,4 No associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,3 Second position,1 Grammatical marking,1 Second singular and second plural,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
